"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, comments and shares",Reactions,Comments,Shares,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Total clicks","Other clicks","Link clicks","Matched audience targeting consumption (Photo Click)","Negative feedback from users: Hide"
1366427842195377,100064845214824,Westside,"Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.","Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.",21,"01/28/2026 03:29",N/A,https://www.facebook.com/reel/1660663111971091/,0,0,Videos,,,,,Lifetime,2422,2267,13,13,0,0,4126.609,1.82,0,0,0,2,1,1,,
1366321362206025,100064845214824,Westside,"On set, in motion. Your sign to become a YNG Model.","On set, in motion. Your sign to become a YNG Model.",41,"01/28/2026 00:32",N/A,https://www.facebook.com/reel/2150047075799935/,0,0,Videos,,,,,Lifetime,2194,2118,18,16,2,0,8186.357,4.02,0,0,0,6,6,,,
1371688185002676,100064845214824,Westside,"Westside is officially international. Now shipping to UAE, Bahrain, Qatar, Oman & Saudi Arabia. Because style knows no limits.

Shop now from a Westside store near you or at www.westside.com.","Westside is officially international. Now shipping to UAE, Bahrain, Qatar, Oman & Saudi Arabia. Because style knows no limits.

Shop now from a Westside store near you or at www.westside.com.",9,"02/03/2026 07:30",N/A,https://www.facebook.com/reel/1327720679159418/,1,0,Videos,,,,,Lifetime,2738,2454,26,26,0,0,5710.4,2.325,0,0,0,20,20,,,
1371600128344815,100064845214824,Westside,"YNG Fresh Face – The Kala Ghoda Edit.","YNG Fresh Face – The Kala Ghoda Edit.",22,"02/03/2026 05:49",N/A,https://www.facebook.com/reel/701031776307552/,0,0,Videos,,,,,Lifetime,1530,1483,14,14,0,0,2856.96,1.971,0,0,0,6,6,,,
1371288915042603,100064845214824,Westside,"Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.","Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.",15,"02/02/2026 21:29",N/A,https://www.facebook.com/reel/2562181157530357/,0,0,Videos,,,,,Lifetime,1618,1626,16,16,0,0,2953.164,1.98,0,0,0,3,1,2,,
1370760321762129,100064845214824,Westside,"Chapter 3: Delusions of grandeur.","Chapter 3: Delusions of grandeur.",66,"02/02/2026 06:19",N/A,https://www.facebook.com/reel/1784031305617317/,1,0,Videos,,,,,Lifetime,1159,1048,10,10,0,0,4680.104,4.266,0,0,0,5,5,,,
1369862128518615,100064845214824,Westside,"Love Glossary. Written in sunsets and effortless stripes.

Shop now from a Westside store near you or at www.westside.com.",,0,"02/01/2026 02:24",N/A,https://www.facebook.com/westsidefanpage/posts/pfbid037fScBicK7WTZc5HZaGPKJfNJxSHjPDVDuJMEUryaDiqGizVQTjJfAfkxs1n4z2xEl,0,0,Photos,,,,,Lifetime,4226,2871,11,11,0,0,,,,,,50,12,1,37,1
1369714631866698,100064845214824,Westside,"YNGCreators is scouting for the next generation of videographers and editors under 25 who live for the edit. 

If you shoot, edit, and color grade with intention (short-form or long-form), and have a perspective worth sharing, this one’s for you.

How to apply:
DM us your work link with #YNGVideo and we’ll reach out.

Let’s create something iconic.","YNGCreators is scouting for the next generation of videographers and editors under 25 who live for the edit. 

If you shoot, edit, and color grade with intention (short-form or long-form), and have a perspective worth sharing, this one’s for you.

How to apply:
DM us your work link with #YNGVideo and we’ll reach out.

Let’s create something iconic.",25,"01/31/2026 21:29",N/A,https://www.facebook.com/reel/907364441659969/,0,0,Videos,,,,,Lifetime,3876,3636,15,15,0,0,7257.255,2.004,0,0,0,4,4,,,
1369185138586314,100064845214824,Westside,"Chapter 2: The quiet rhythm of healing.","Chapter 2: The quiet rhythm of healing.",54,"01/31/2026 04:33",N/A,https://www.facebook.com/reel/1182651647359740/,0,0,Videos,,,,,Lifetime,2478,2497,22,22,0,0,12310.893,5.216,0,0,0,13,13,,,
1368929155278579,100064845214824,Westside,"Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.","Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.",18,"01/30/2026 21:29",N/A,https://www.facebook.com/reel/1286418989965134/,0,0,Videos,,,,,Lifetime,2323,2276,10,9,1,0,5026.386,2.33,0,0,0,1,1,,,
1368322485339246,100064845214824,Westside,"Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.","Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.",12,"01/30/2026 05:29",N/A,https://www.facebook.com/reel/764125583063784/,0,0,Videos,,,,,Lifetime,3361,3235,12,12,0,0,6822.879,2.184,0,0,0,6,6,,,
1367445412093620,100064845214824,Westside,"Chapter 1: When the feeling gets awkward.","Chapter 1: When the feeling gets awkward.",32,"01/29/2026 05:39",N/A,https://www.facebook.com/reel/914667574224523/,0,0,Videos,,,,,Lifetime,2523,2376,22,14,8,0,11386.391,4.893,0,0,0,12,12,,,
1366552972182864,100064845214824,Westside,"A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.","A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.",11,"01/28/2026 06:29",N/A,https://www.facebook.com/reel/889648640381437/,0,0,Videos,,,,,Lifetime,2717,2584,12,5,7,0,4399.087,1.778,0,0,0,4,4,,,
