"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,"Link clicks","Sticker taps",Navigation,Follows
18166886197395451,17841401577886844,westsidestores,"Westside Stores",,10,"01/28/2026 19:00",https://www.instagram.com/stories/westsidestores/3820470839330524561,"IG story",,Lifetime,31395,26554,41,0,141,6,,,29213,
17856865485607753,17841401577886844,westsidestores,"Westside Stores",,17,"01/28/2026 22:02",https://www.instagram.com/stories/westsidestores/3820562577751552592,"IG story",,Lifetime,28164,24436,43,5,40,0,92,,26992,1
18128100811521684,17841401577886844,westsidestores,"Westside Stores",,9,"01/28/2026 22:04",https://www.instagram.com/stories/westsidestores/3820563555175380915,"IG story",,Lifetime,29062,24154,51,21,33,1,289,,23853,1
17925623526235238,17841401577886844,westsidestores,"Westside Stores",,10,"01/28/2026 23:03",https://www.instagram.com/stories/westsidestores/3820593279293501331,"IG story",,Lifetime,28216,22993,40,8,34,1,165,,25409,
17948615745085673,17841401577886844,westsidestores,"Westside Stores",,18,"01/28/2026 23:09",https://www.instagram.com/stories/westsidestores/3820596468273168748,"IG story",,Lifetime,29968,22468,59,479,100,27,,,27505,2
18072362228116602,17841401577886844,westsidestores,"Westside Stores",,10,"01/28/2026 23:12",https://www.instagram.com/stories/westsidestores/3820597922832590533,"IG story",,Lifetime,28109,21738,31,20,44,2,219,,26026,
17898891528377962,17841401577886844,westsidestores,"Westside Stores",,12,"01/28/2026 23:17",https://www.instagram.com/stories/westsidestores/3820600103887475701,"IG story",,Lifetime,24864,20750,33,13,81,2,81,,23410,1
18090680561047096,17841401577886844,westsidestores,"Westside Stores",,32,"01/29/2026 05:41",https://www.instagram.com/stories/westsidestores/3820793586115938683,"IG story",,Lifetime,27946,24417,42,2,57,0,,,26114,
17851954890665503,17841401577886844,westsidestores,"Westside Stores",,20,"01/29/2026 06:17",https://www.instagram.com/stories/westsidestores/3820811666460305862,"IG story",,Lifetime,25095,21634,30,4,67,0,192,,24239,1
17848395492636098,17841401577886844,westsidestores,"Westside Stores",,16,"01/29/2026 21:10",https://www.instagram.com/stories/westsidestores/3821261413054727426,"IG story",,Lifetime,28875,24546,75,25,59,19,,,27433,
18090085847108889,17841401577886844,westsidestores,"Westside Stores",,18,"01/29/2026 21:25",https://www.instagram.com/stories/westsidestores/3821268665140547424,"IG story",,Lifetime,28776,22453,53,179,128,12,,,26975,3
18104674636774208,17841401577886844,westsidestores,"Westside Stores",,32,"01/29/2026 23:01",https://www.instagram.com/stories/westsidestores/3821316712545428339,"IG story",,Lifetime,26808,21153,41,45,59,2,,,25274,
17979213320969248,17841401577886844,westsidestores,"Westside Stores",,8,"01/29/2026 23:10",https://www.instagram.com/stories/westsidestores/3821321431531656067,"IG story",,Lifetime,23992,20024,37,10,29,0,325,,20863,1
18568446682006295,17841401577886844,westsidestores,"Westside Stores",,27,"01/29/2026 23:11",https://www.instagram.com/stories/westsidestores/3821322479126222414,"IG story",,Lifetime,22686,18877,35,4,23,1,174,,21718,1
17864757453563343,17841401577886844,westsidestores,"Westside Stores",,33,"01/29/2026 23:13",https://www.instagram.com/stories/westsidestores/3821323431451347352,"IG story",,Lifetime,21433,18010,35,6,62,2,63,,19964,
18107439289776392,17841401577886844,westsidestores,"Westside Stores",,12,"01/30/2026 05:33",https://www.instagram.com/stories/westsidestores/3821514017152221834,"IG story",,Lifetime,24054,20916,32,7,42,0,,,22825,1
18092947276968113,17841401577886844,westsidestores,"Westside Stores",,7,"01/30/2026 05:36",https://www.instagram.com/stories/westsidestores/3821515890898805282,"IG story",,Lifetime,22404,18870,22,7,49,0,80,,20933,
17847273072641586,17841401577886844,westsidestores,"Westside Stores",,18,"01/30/2026 21:38",https://www.instagram.com/stories/westsidestores/3821999947579855998,"IG story",,Lifetime,33083,27282,52,125,138,23,,,30354,1
18075738857578464,17841401577886844,westsidestores,"Westside Stores",,9,"01/30/2026 22:19",https://www.instagram.com/stories/westsidestores/3822020424784403062,"IG story",,Lifetime,30033,24707,49,10,44,0,657,,26275,1
17902436088204708,17841401577886844,westsidestores,"Westside Stores",,22,"01/30/2026 22:22",https://www.instagram.com/stories/westsidestores/3822022355783203407,"IG story",,Lifetime,26557,23460,35,3,36,1,169,,25674,1
17896544364245477,17841401577886844,westsidestores,"Westside Stores",,6,"01/30/2026 22:28",https://www.instagram.com/stories/westsidestores/3822025025189312623,"IG story",,Lifetime,25661,22381,38,8,11,0,386,,22149,
18091106672488373,17841401577886844,westsidestores,"Westside Stores",,19,"01/30/2026 22:34",https://www.instagram.com/stories/westsidestores/3822028395329349534,"IG story",,Lifetime,25179,21746,31,10,31,1,357,,23652,
17875304313492158,17841401577886844,westsidestores,"Westside Stores",,17,"01/31/2026 01:33",https://www.instagram.com/stories/westsidestores/3822118475573777302,"IG story",,Lifetime,23974,21228,33,3,40,3,120,,22875,
18055144334384330,17841401577886844,westsidestores,"Westside Stores",,20,"01/31/2026 04:46",https://www.instagram.com/stories/westsidestores/3822215180831414419,"IG story",,Lifetime,22536,20128,28,1,31,1,128,,21785,1
17874673653498123,17841401577886844,westsidestores,"Westside Stores",,54,"01/31/2026 04:48",https://www.instagram.com/stories/westsidestores/3822216150487393228,"IG story",,Lifetime,20560,18448,35,0,92,0,,,19881,
18299783671274319,17841401577886844,westsidestores,"Westside Stores",,5,"01/31/2026 18:38",https://www.instagram.com/stories/westsidestores/3822634137157145733,"IG story",,Lifetime,22386,19594,32,3,37,0,56,,20674,1
18111557413576948,17841401577886844,westsidestores,"Westside Stores",,7,"01/31/2026 18:42",https://www.instagram.com/stories/westsidestores/3822635931983677363,"IG story",,Lifetime,18554,16973,23,1,15,0,40,8,17865,
18093672698289807,17841401577886844,westsidestores,"Westside Stores",,17,"01/31/2026 18:43",https://www.instagram.com/stories/westsidestores/3822636893410429772,"IG story",,Lifetime,17124,15755,22,2,20,0,27,,16756,
17849342886635307,17841401577886844,westsidestores,"Westside Stores",,5,"01/31/2026 18:47",https://www.instagram.com/stories/westsidestores/3822638636747719668,"IG story",,Lifetime,16468,15071,19,0,27,0,81,26,15578,
18078818831340410,17841401577886844,westsidestores,"Westside Stores",,25,"01/31/2026 21:34",https://www.instagram.com/stories/westsidestores/3822722848591445027,"IG story",,Lifetime,17061,15537,27,11,24,1,,,16500,
18118763332606716,17841401577886844,westsidestores,"Westside Stores",,20,"01/31/2026 21:45",https://www.instagram.com/stories/westsidestores/3822728480173862502,"IG story",,Lifetime,16260,14676,25,0,19,1,124,,15600,
18097705750927684,17841401577886844,westsidestores,"Westside Stores",,28,"01/31/2026 21:51",https://www.instagram.com/stories/westsidestores/3822731699780326506,"IG story",,Lifetime,16353,14061,27,9,36,1,133,,15637,
18105391690756882,17841401577886844,westsidestores,"Westside Stores",,20,"02/01/2026 02:32",https://www.instagram.com/stories/westsidestores/3822872832044982050,"IG story",,Lifetime,18811,16098,25,0,56,1,197,,17913,1
17848641903651246,17841401577886844,westsidestores,"Westside Stores",,29,"02/01/2026 22:15",https://www.instagram.com/stories/westsidestores/3823468659512157584,"IG story",,Lifetime,23241,20567,32,0,43,1,45,,21817,1
18101475373851011,17841401577886844,westsidestores,"Westside Stores",,13,"02/01/2026 22:19",https://www.instagram.com/stories/westsidestores/3823470133969389919,"IG story",,Lifetime,20504,18377,28,4,17,0,116,,19022,
18147817768456317,17841401577886844,westsidestores,"Westside Stores",,8,"02/01/2026 22:20",https://www.instagram.com/stories/westsidestores/3823470573498886167,"IG story",,Lifetime,20193,17465,40,5,14,1,242,,18249,1
18551986114023807,17841401577886844,westsidestores,"Westside Stores",,30,"02/01/2026 22:22",https://www.instagram.com/stories/westsidestores/3823471797606543368,"IG story",,Lifetime,18975,16481,23,2,47,2,103,,18130,
17852273787593213,17841401577886844,westsidestores,"Westside Stores",,60,"02/02/2026 06:21",https://www.instagram.com/stories/westsidestores/3823712499308975154,"IG story",,Lifetime,20547,18109,33,6,34,1,,,19495,
