"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18548594548010941,17841401577886844,westsidestores,"Westside Stores","On set, in motion. Your sign to become a YNG Model.",40,"01/28/2026 00:32",https://www.instagram.com/reel/DUDDrr2jD0_/,"IG reel",,Lifetime,57496,41523,968,302,74,424,154
17982084944794619,17841403870895679,manyarajesh_,Mʌnyʌ,"Valentine’s Day Gift Challenge🤭
May the best lover win. 🫶🏻
@westsidestores 

Valentine’s Day, challenge, shopping video",50,"02/03/2026 20:18",https://www.instagram.com/reel/DUUn9NmDLqO/,"IG reel",,Lifetime,106978,73328,622,100,1,28,0
18035991491554397,17841401577886844,westsidestores,"Westside Stores","Westside is officially international. Now shipping to UAE, Bahrain, Qatar, Oman & Saudi Arabia. Because style knows no limits.

Shop now from a Westside store near you or at global.westside.com.",9,"02/03/2026 07:30",https://www.instagram.com/reel/DUTQRiJlUL3/,"IG reel",,Lifetime,86531,46285,233,105,10,10,11
18110696947726987,17841401577886844,westsidestores,"Westside Stores","YNG Fresh Face – The Kala Ghoda Edit.",21,"02/03/2026 05:50",https://www.instagram.com/reel/DUTEvZwkyNk/,"IG reel",,Lifetime,39963,27958,331,121,16,119,21
18037786946752798,17841401577886844,westsidestores,"Westside Stores","Step into the season. The footwear must-haves for every mood.

Shop now from a Westside store near you or at www.westside.com.",14,"02/02/2026 21:29",https://www.instagram.com/reel/DUSLfPLjB52/,"IG reel",,Lifetime,40631,30508,93,32,1,0,10
18070616108161328,17841401577886844,westsidestores,"Westside Stores","Chapter 3: Delusions of grandeur.",65,"02/02/2026 06:18",https://www.instagram.com/reel/DUQi6PoiMcs/,"IG reel",,Lifetime,187678,195695,942,98,18,41,59
18505782547072244,17841401577886844,westsidestores,"Westside Stores","Love Glossary. Written in sunsets and effortless styles.

Shop now from a Westside store near you or at www.westside.com.",0,"02/01/2026 02:24",https://www.instagram.com/p/DUNjtnPD5TB/,"IG carousel",,Lifetime,102859,1065290,1455,29,27,26,51
17910333927441013,17841400415974654,siddharthadayani,"Siddhartha Dayani | Dance · Fashion · Travel · Lifestyle","Smelling so good it’s a literal cheat code, but watch out–the Fanum Tax is real and they might be coming for their share. 
Grab your pair and level up your scent game this Valentine’s!",29,"01/31/2026 21:56",https://www.instagram.com/reel/DUNE2kHk62p/,"IG reel",,Lifetime,154400,,314,16,,6,0
18321805552221929,17841401577886844,westsidestores,"Westside Stores","YNGCreators is scouting for the next generation of videographers and editors under 25 who live for the edit. 

If you shoot, edit, and color grade with intention (short-form or long-form), and have a perspective worth sharing, this one’s for you.

How to apply:
DM us your work link with #YNGVideo and we’ll reach out.

Let’s create something iconic.",25,"01/31/2026 21:30",https://www.instagram.com/reel/DUNB-JFin_X/,"IG reel",,Lifetime,38822,28780,314,161,8,28,44
18158662042410594,17841401577886844,westsidestores,"Westside Stores","Chapter 2: The quiet rhythm of healing.",54,"01/31/2026 04:34",https://www.instagram.com/reel/DULNuIMFPdC/,"IG reel",,Lifetime,230633,176668,1687,94,61,55,194
18118521127607933,17841401577886844,westsidestores,"Westside Stores","Versatile essentials curated for every hour of the day. 

Shop now from a Westside store near you or at www.westside.com.",17,"01/30/2026 21:29",https://www.instagram.com/reel/DUKdIxzDaFu/,"IG reel",,Lifetime,89207,62054,188,34,6,3,20
18555250627039761,17841401577886844,westsidestores,"Westside Stores","Love glossary. Red brings the rizz. 

Shop now from a Westside store near you or at www.westside.com.",12,"01/30/2026 05:29",https://www.instagram.com/reel/DUIvOsTicHQ/,"IG reel",,Lifetime,61914,44416,206,45,5,29,28
18171643852386766,17841401577886844,westsidestores,"Westside Stores","Chapter 1: When the feeling gets awkward.",32,"01/29/2026 05:40",https://www.instagram.com/reel/DUGLof9Ce1w/,"IG reel",,Lifetime,393529,416102,6321,318,42,127,89
18019816145801127,17841401577886844,westsidestores,"Westside Stores","A lexicon of love for the season.

What makes your Love Glossary? Comment your first find.",10,"01/28/2026 06:29",https://www.instagram.com/reel/DUDsghYiBnK/,"IG reel",,Lifetime,62296,44595,224,41,1,67,21
18334524664208849,17841401577886844,westsidestores,"Westside Stores","Rich earth tones. Clean silhouettes. Activewear, redefined for Men.
Nuoflexx by Westside.

Shop now from a Westside store near you or at www.westside.com.",21,"01/28/2026 03:29",https://www.instagram.com/reel/DUDX9Dij3pA/,"IG reel",,Lifetime,465691,58480,10505,319,1,97,20
